timestamp,type,description,geolocation
2/28/13 23:57,attack,"neque tellus, imperdiet non, vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem ipsum dolor","-46.11579, 45.2338"
6/25/13 23:30,other,"risus. Nulla eget metus eu erat semper rutrum. Fusce dolor quam, elementum at, egestas a, scelerisque sed, sapien. Nunc pulvinar arcu et pede.","-24.9616, 165.44616"
12/7/13 2:06,attack,"ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus.","-28.199, -46.62918"
6/23/13 5:49,suicide,"bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus, lorem fringilla ornare placerat, orci lacus","56.30781, -107.45568"
2/17/13 15:39,other,"eget tincidunt dui augue eu tellus. Phasellus elit pede, malesuada","75.80882, -114.7305"
1/23/13 18:12,road block,"dis parturient montes, nascetur ridiculus mus. Donec dignissim magna a tortor. Nunc commodo auctor velit. Aliquam nisl.","22.09181, -70.55016"
9/26/13 8:14,other,"Vestibulum accumsan neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus gravida. Aliquam tincidunt, nunc","13.85147, -122.05663"
9/29/13 18:43,bomb,"venenatis lacus. Etiam bibendum fermentum metus. Aenean sed pede nec ante blandit viverra. Donec tempus, lorem fringilla ornare placerat, orci lacus vestibulum lorem, sit amet","46.11054, -5.54071"
2/2/13 14:26,attack,"orci quis lectus. Nullam suscipit, est ac facilisis facilisis, magna tellus faucibus leo, in lobortis tellus","87.04431, 14.73981"
8/21/13 17:56,road block,"lobortis tellus justo sit amet nulla. Donec non justo. Proin non massa non ante bibendum ullamcorper. Duis cursus, diam at","59.32201, -93.48607"
5/6/13 16:40,attack,aliquet magna a neque. Nullam ut nisi,"47.59985, 178.75737"
2/10/13 17:42,attack,auctor velit. Aliquam nisl. Nulla eu neque pellentesque massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc,"63.24771, -25.59128"
10/7/13 4:18,attack,"elit fermentum risus, at fringilla purus mauris a nunc. In at","-85.96884, 46.17591"
6/3/13 9:14,attack,"tellus. Nunc lectus pede, ultrices a, auctor non, feugiat nec, diam. Duis","1.66666, -111.21361"
12/24/13 5:50,suicide,"montes, nascetur ridiculus mus. Proin","68.49983, 2.06646"
1/8/13 20:24,bomb,"lacinia orci, consectetuer euismod est arcu ac orci. Ut semper pretium neque. Morbi quis urna.","71.99928, -167.63505"
7/23/13 13:39,road block,enim commodo hendrerit. Donec porttitor tellus non magna.,"77.85877, 18.73034"
10/7/13 23:17,bomb,ante. Vivamus non lorem vitae odio sagittis semper. Nam tempor diam dictum,"28.51309, -59.75048"
1/18/13 23:36,bomb,enim. Mauris quis turpis vitae,"78.863, 55.82432"
11/10/13 9:09,other,"libero nec ligula consectetuer rhoncus. Nullam velit dui, semper et, lacinia vitae, sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem","-56.40073, 153.59034"
10/26/13 20:18,road block,"pede et risus. Quisque libero lacus, varius et, euismod et, commodo at, libero.","-46.57159, 49.21289"
1/17/13 9:18,other,"augue eu tellus. Phasellus elit pede, malesuada vel, venenatis vel, faucibus id, libero. Donec consectetuer mauris id","24.21931, -149.41702"
9/26/13 1:42,suicide,"nisl sem, consequat nec, mollis vitae, posuere","-71.22623, -28.80692"
7/18/13 18:11,road block,"eu sem. Pellentesque ut ipsum ac mi eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris ipsum porta","-53.28371, 178.83041"
8/14/13 5:45,other,sit amet ornare lectus justo eu arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus,"-8.65975, -134.88869"
7/23/13 10:16,suicide,"ligula. Nullam enim. Sed nulla ante, iaculis nec, eleifend non, dapibus rutrum, justo. Praesent luctus. Curabitur egestas nunc","-25.53496, 74.02675"
10/5/13 3:08,bomb,"feugiat. Sed nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis ligula. Donec luctus aliquet odio. Etiam ligula tortor,","7.22121, -153.95793"
11/3/13 8:44,road block,"rhoncus. Proin nisl sem, consequat nec, mollis vitae, posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget, dictum placerat, augue. Sed molestie. Sed id","15.04026, -125.4693"
8/13/13 10:07,attack,Curae; Donec tincidunt. Donec vitae erat vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse,"-16.69759, -122.33002"
9/1/13 21:00,suicide,"eget, venenatis a, magna. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Etiam laoreet, libero et tristique pellentesque,","9.14525, 30.66334"
7/21/13 18:24,road block,blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas,"-19.88162, -51.02987"
12/6/13 17:58,suicide,"ut, molestie in, tempus eu, ligula. Aenean euismod mauris eu elit. Nulla facilisi. Sed neque. Sed eget lacus. Mauris non dui nec urna suscipit nonummy.","-64.49694, 7.62279"
5/8/13 0:37,bomb,"quis, pede. Suspendisse dui. Fusce diam nunc, ullamcorper eu, euismod ac, fermentum","-48.18461, -168.40566"
4/23/13 6:00,suicide,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.","-49.59326, 35.32972"
5/25/13 11:49,suicide,"Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi","35.06072, -68.49622"
1/25/13 23:16,attack,"dolor dolor, tempus non, lacinia at, iaculis quis, pede. Praesent eu dui. Cum sociis natoque penatibus et magnis dis","-30.11185, 116.67395"
3/28/13 11:28,road block,"dictum eu, placerat eget, venenatis a, magna. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Etiam laoreet, libero et","-44.84878, -6.16814"
4/14/13 0:43,attack,"Suspendisse ac metus vitae velit egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate","-44.93912, 154.73362"
9/5/13 23:06,other,"orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus quam quis diam. Pellentesque habitant morbi","32.64016, -47.92433"
8/13/13 12:13,other,In condimentum. Donec at arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae;,"-22.88605, 89.40641"
5/31/13 15:06,other,at fringilla purus mauris a nunc. In at pede. Cras vulputate velit,"44.6607, 155.67369"
5/3/13 3:32,bomb,"vehicula et, rutrum eu, ultrices sit amet, risus. Donec nibh enim, gravida sit amet, dapibus id, blandit at, nisi. Cum sociis","14.7678, -114.14904"
4/29/13 6:30,attack,turpis. In condimentum. Donec at arcu. Vestibulum ante ipsum primis in faucibus,"53.24554, 163.87191"
1/26/13 8:08,bomb,"et pede. Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero mauris, aliquam eu, accumsan sed, facilisis vitae, orci. Phasellus dapibus quam","-58.03727, 157.34288"
1/20/13 7:48,attack,neque non quam. Pellentesque habitant morbi tristique senectus et netus,"-25.65814, -29.67096"
1/10/13 1:47,suicide,"sed dictum eleifend, nunc risus varius orci, in consequat enim diam vel arcu.","58.47986, -71.44516"
10/3/13 12:23,attack,"cursus. Nunc mauris elit, dictum eu,","57.5342, 99.1395"
2/22/13 1:16,attack,sociis natoque penatibus et magnis,"0.95946, 161.10084"
3/12/13 14:57,other,vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac arcu. Nunc mauris. Morbi non,"-76.1182, 62.79161"
6/25/13 16:05,road block,neque non quam. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus.,"75.65144, -49.15413"
1/31/13 22:49,other,dolor vitae dolor. Donec fringilla. Donec feugiat metus sit amet ante. Vivamus non lorem vitae odio,"-71.65722, 138.72063"
6/10/13 14:22,attack,"iaculis aliquet diam. Sed diam lorem, auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna.","69.4223, 96.05059"
4/30/13 4:29,attack,"egestas rhoncus. Proin nisl sem, consequat nec, mollis vitae, posuere at, velit. Cras lorem lorem, luctus ut, pellentesque eget, dictum","21.0748, 122.91353"
5/10/13 16:16,suicide,"sit amet, dapibus id, blandit at,","26.46699, -81.61785"
1/31/13 23:48,other,vitae aliquam eros turpis non enim. Mauris quis turpis,"34.88868, 47.48442"
9/20/13 19:22,bomb,tristique senectus et netus et malesuada fames ac turpis egestas.,"-75.75788, -107.09803"
7/12/13 21:13,other,habitant morbi tristique senectus et netus et malesuada fames ac turpis,"53.19654, 115.38663"
4/3/13 18:11,bomb,Sed id risus quis diam luctus lobortis. Class aptent taciti sociosqu ad litora torquent per,"49.51226, -137.04576"
10/1/13 5:52,suicide,"ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur","18.3157, -22.04551"
1/12/13 20:46,bomb,"ipsum porta elit, a feugiat tellus lorem","44.51063, 169.90379"
1/27/13 5:18,road block,"non, luctus sit amet, faucibus ut, nulla. Cras","47.36217, -178.47019"
7/14/13 7:30,other,ac turpis egestas. Fusce aliquet magna a neque. Nullam ut nisi a odio semper cursus. Integer mollis.,"46.90731, -146.04301"
2/21/13 3:02,other,consectetuer ipsum nunc id enim. Curabitur massa. Vestibulum accumsan neque,"-56.14522, 153.43927"
1/20/13 15:24,bomb,"lorem ut aliquam iaculis, lacus pede sagittis augue, eu tempor erat neque non quam. Pellentesque habitant morbi tristique senectus et netus","52.50752, -106.97416"
6/4/13 4:36,bomb,"adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida","-38.528, -43.09677"
8/11/13 14:38,attack,"Aliquam nec enim. Nunc ut erat. Sed nunc est, mollis non, cursus non, egestas a, dui.","85.83309, 27.29374"
2/25/13 17:57,road block,"aliquam, enim nec tempus scelerisque, lorem ipsum sodales purus, in molestie tortor nibh sit amet orci. Ut sagittis lobortis mauris. Suspendisse aliquet","-22.91677, 44.83935"
6/16/13 3:09,road block,"pharetra nibh. Aliquam ornare, libero at auctor ullamcorper, nisl arcu iaculis enim, sit amet ornare lectus justo eu arcu. Morbi","66.04646, -50.60585"
5/22/13 22:45,suicide,dignissim pharetra. Nam ac nulla. In tincidunt congue,"86.17546, 41.17475"
9/2/13 0:46,suicide,"Nunc ullamcorper, velit in aliquet","-47.6302, -35.79588"
7/11/13 11:18,other,"ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus","-55.98, -140.66429"
10/14/13 15:59,attack,id nunc interdum feugiat. Sed nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis ligula. Donec luctus aliquet,"8.79224, 68.54607"
2/22/13 14:58,suicide,"luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet diam eu dolor egestas rhoncus. Proin nisl sem, consequat nec,","-75.92816, -138.37499"
5/14/13 2:51,bomb,et malesuada fames ac turpis egestas. Aliquam,"57.10193, -59.75813"
1/10/13 2:12,suicide,"nunc est, mollis non, cursus non, egestas a, dui. Cras pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed eu","-13.69053, 87.26497"
11/5/13 22:16,attack,"imperdiet, erat nonummy ultricies ornare, elit elit fermentum risus, at fringilla purus mauris a nunc. In at pede. Cras vulputate velit eu sem.","-73.5584, -171.12799"
1/11/13 7:40,suicide,"gravida mauris ut mi. Duis risus odio, auctor vitae, aliquet nec, imperdiet nec, leo. Morbi neque tellus,","31.65364, -7.48175"
5/16/13 17:17,attack,eu eros. Nam consequat dolor vitae dolor. Donec fringilla. Donec feugiat metus sit amet ante. Vivamus non lorem vitae,"-83.08652, 179.8586"
6/23/13 23:25,other,adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et,"-67.76076, 52.3216"
9/1/13 0:32,suicide,"sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus.","-41.65415, -10.53149"
4/3/13 20:14,road block,neque. Morbi quis urna. Nunc quis arcu vel quam dignissim pharetra. Nam ac nulla. In tincidunt congue turpis.,"-78.70991, 102.72404"
4/1/13 3:43,attack,justo sit amet nulla. Donec non justo. Proin non massa non ante,"38.43398, -92.09842"
7/21/13 20:59,road block,erat vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac,"-39.75072, -34.00552"
